Status,Ordertyp,WKN,Limit,Nom,ANom,Order_Value,Timestamp,JIM_Value,Spread_Prozentual,Target_Market_Count,Tradegate_Volume,Risk Score,Decision,Reasons,jim_risk,spread_risk,mp_risk,tgv_risk
Eingegeben,Limitiert,882017,103,100,,10300.0,2026-04-14 09:23:41.7154,14258.88,0.0054,4.0,8481.3,16.764123530721953,Automatic,All risk factors within automatic limits,6.224123530721954,0.54,0,10
Ausgeführt,Limitiert,883867,20.08,,120,2409.6,2026-04-14 09:27:39.6115,5094.96,0.0158,4.0,5112.0,4.878515939849624,Automatic,All risk factors within automatic limits,0.9638399999999999,1.7632473684210526,0,2.1514285714285712
Eingegeben,Limitiert,883867,20.08,120,,2409.6,2026-04-14 09:27:39.6115,5094.96,0.0158,4.0,5112.0,4.878515939849624,Automatic,All risk factors within automatic limits,0.9638399999999999,1.7632473684210526,0,2.1514285714285712
Gelöscht,Limitiert,A3D7SC,5.5,"4,565",,25107.5,2026-04-14 09:24:42.2715,0.0,0.0296,5.0,3890.518,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A3CMNS,26.46,,"1,000",26460.0,2026-04-14 09:26:08.9479,50058.5,0.0,5.0,50066.1,17.791418506258296,Automatic,All risk factors within automatic limits,7.791418506258297,0.0,0,10
Eingegeben,Limitiert,A3CMNS,26.46,"1,000",,26460.0,2026-04-14 09:26:08.9479,50058.5,0.0,5.0,50066.1,17.791418506258296,Automatic,All risk factors within automatic limits,7.791418506258297,0.0,0,10
Ausgeführt,Limitiert,855471,11.035,,360,3972.6,2026-04-14 09:27:56.4015,9871.95,0.0028,4.0,5372.5,5.89004,Automatic,All risk factors within automatic limits,1.58904,0.27999999999999997,0,4.021
Eingegeben,Limitiert,855471,11.035,360,,3972.6,2026-04-14 09:27:56.4015,9871.95,0.0028,4.0,5372.5,5.89004,Automatic,All risk factors within automatic limits,1.58904,0.27999999999999997,0,4.021
Ausgeführt,Limitiert,855471,11.035,,360,3972.6,2026-04-14 09:27:56.4015,9871.95,0.0028,4.0,5372.5,5.89004,Automatic,All risk factors within automatic limits,1.58904,0.27999999999999997,0,4.021
Ausgeführt,Limitiert,A3EUCD,191,,65,12415.0,2026-04-14 09:29:38.9384,39886.6,0.0075,4.0,39960.0,17.284365627642245,Automatic,All risk factors within automatic limits,6.534365627642244,0.75,0,10
Ausgeführt,Limitiert,886423,317.9,,3,953.6999999999999,2026-04-14 09:30:33.7105,0.0,0.0085,3.0,4131.2,13.701517857142857,Automatic,All risk factors within automatic limits,10,0.8500000000000001,2,0.851517857142857
