WKN_Id;WKN;Timestamp;JIM_Value;Target_Market_Count;Present_Markets;Spread_Absolut;Spread_Prozentual;Best_Bid;Best Ask;Tradegate_Volume
1876389;A116FD;2026-04-14 09:23:02.2455;7894.575;4;['SC1', 'F', 'LS1', 'TG'];0.02;0.0068;2.935;2.955;7897.499999999999
1016368;A119RF;2026-04-14 09:23:02.3481;0.0;2;['LS1', 'F'];0.1;0.0223;4.48;4.58;0.0
938049;A14NHV;2026-04-14 09:23:02.4489;0.0;2;['LS1', 'F'];0.0002;0.0909;0.0022;0.0024;0.0
125887;A14S3R;2026-04-14 09:23:02.5239;0.0;3;['F', 'LS1', 'BB1'];0.02;0.0017;11.84;11.86;0.0
573136;A2ABHA;2026-04-14 09:23:02.6203;0.0;4;['SC1', 'LS1', 'F', 'BB1'];0.1;0.0036;27.9;28.0;0.0
481328;A2ASUV;2026-04-14 09:23:02.6595;22475.600000000002;6;['LS1', 'F', 'SC1', 'TG', 'BB1', 'DE'];-0.02;-0.0003;64.48;64.46;22547.0
805181;A2AKN7;2026-04-14 09:23:02.7616;0.0;2;['F', 'LS1'];0.0044;0.0514;0.0856;0.09;0.0
2854557;A2JB6Z;2026-04-14 09:23:02.8163;0.0;2;['F', 'LS1'];0.082;0.1145;0.716;0.798;0.0
1246638;A2DH76;2026-04-14 09:23:02.9094;0.0;3;['LS1', 'F', 'BB1'];0.16;0.0079;20.24;20.4;0.0
2062193;A2DNYG;2026-04-14 09:23:02.9486;5259.735;4;['TG', 'F', 'LS1', 'SC1'];0.03;0.0057;5.27;5.3;5265.0
2128115;A2DSW0;2026-04-14 09:23:03.0281;0.0;3;['F', 'LS1', 'BB1'];0.025;0.0175;1.43;1.455;0.0
2187039;A2DR7Z;2026-04-14 09:23:03.1253;0.0;2;['LS1', 'F'];0.03;0.0462;0.65;0.68;0.0
2373734;A2H5A3;2026-04-14 09:23:03.1882;5253.43;5;['F', 'LS1', 'TG', 'SC1', 'DE'];0.06;0.0034;17.57;17.63;5271.0
2187961;A2JRRB;2026-04-14 09:23:03.2149;0.0;3;['LS1', 'F', 'BB1'];0.019;0.0433;0.4385;0.4575;0.0
117891;A2PBLU;2026-04-14 09:23:03.3194;0.0;3;['F', 'LS1', 'BB1'];0.36;0.0074;48.94;49.3;0.0
105101;A2PD78;2026-04-14 09:23:03.4338;0.0;3;['LS1', 'F', 'BB1'];0.017;0.0351;0.485;0.502;0.0
100841;A2PXG1;2026-04-14 09:23:03.5057;10056.0;4;['F', 'LS1', 'SC1', 'TG'];0.02;0.0008;24.0;24.02;10080.0
1317430;A2QCWK;2026-04-14 09:23:03.5491;0.0;3;['LS1', 'F', 'BB1'];0.02;0.0083;2.4;2.42;0.0
983236;A2P7YV;2026-04-14 09:23:03.6358;9974.4;4;['F', 'LS1', 'SC1', 'TG'];0.035;0.0036;9.6;9.635;9984.0
2321021;A2P7Y0;2026-04-14 09:23:03.6605;0.0;2;['LS1', 'F'];0.04;0.0081;4.94;4.98;0.0
778849;A2QCS4;2026-04-14 09:23:03.7211;1104.3000000000002;4;['F', 'LS1', 'TG', 'BB1'];0.04;0.0148;2.7;2.74;1107.0
2262669;A2QJ45;2026-04-14 09:23:03.8552;0.0;2;['F', 'LS1'];0.25;0.0145;17.25;17.5;0.0
772543;A2QRSB;2026-04-14 09:23:03.9542;0.0;2;['LS1', 'F'];0.095;0.0202;4.705;4.8;0.0
2187629;A3CS50;2026-04-14 09:23:04.0304;2896.0679999999998;4;['LS1', 'F', 'TG', 'BB1'];0.046;0.0236;1.952;1.998;2898.0
117970;A3C292;2026-04-14 09:23:04.0791;5046.66;4;['F', 'LS1', 'SC1', 'TG'];0.02;0.0021;9.54;9.56;3148.2
2744700;A3DMB0;2026-04-14 09:23:04.1629;0.0;2;['LS1', 'F'];0.1;0.0052;19.38;19.48;0.0
1493848;A3DNV3;2026-04-14 09:23:04.2570;10820.6;4;['F', 'LS1', 'SC1', 'TG'];0.6;0.0033;183.4;184.0;10992.0
117696;A3E1GW;2026-04-14 09:23:04.3287;9884.699999999999;4;['F', 'LS1', 'SC1', 'TG'];0.1;0.0019;52.35;52.45;9946.5
472022;A40H8H;2026-04-14 09:23:04.4453;0.0;2;['LS1', 'F'];0.0002;0.05;0.004;0.0042;0.0
428949;A40WHL;2026-04-14 09:23:04.6125;0.0;2;['F', 'LS1'];0.08;0.0163;4.92;5.0;0.0
3854721;A2DGX9;2026-04-14 09:23:04.6380;;5;['TG', 'LS1', 'F', 'DE', 'BB1'];0.8;0.0148;54.2;55.0;4869.0
1371778;A14XBY;2026-04-14 09:23:04.7718;0.0;2;['LS1', 'F'];0.011;0.9565;0.0115;0.0225;0.0
